"density_aux","exact_rho_aux","Points:0","Points:1","Points:2"
1.2257,1.22221,0.32482,0.104517,0
1.22196,1.22221,0.324319,0.130883,0
1.22352,1.22221,0.352698,0.134139,0
1.23365,1.22221,0.353165,0.108006,0
1.25987,1.22221,0.353632,0.0818733,0
1.24121,1.22221,0.325321,0.0781518,0
1.22944,1.22221,0.297009,0.0744303,0
1.22211,1.22221,0.323818,0.157248,0
1.22195,1.22221,0.35223,0.160272,0
1.22225,1.22221,0.288462,0.5,0
2.27413,2.28132,0.469551,-0.104861,0
2.27022,2.28132,0.441506,-0.110443,0
2.26089,2.28132,0.413462,-0.116025,0
2.12121,2.28132,0.440405,-0.0341378,0
2.04738,2.28132,0.41226,-0.0390223,0
2.27284,2.28132,0.525107,-0.0442217,0
2.25381,2.28132,0.52484,-0.0194844,0
2.2454,2.28132,0.499099,-0.224128,0
1.22228,1.22221,0.378038,0.318698,0
1.22211,1.22221,0.406651,0.320326,0
1.22227,1.22221,0.293803,0.234019,0
2.27481,2.28132,0.497596,-0.0992787,0
2.27446,2.28132,0.497296,-0.0743087,0
2.27706,2.28132,0.525374,-0.0689591,0
2.27722,2.28132,0.553452,-0.0636094,0
2.27712,2.28132,0.58153,-0.0582597,0
2.25436,2.28132,0.470887,-0.205671,0
2.245,2.28132,0.471221,-0.230874,0
2.27887,2.28132,0.637553,-0.0237534,0
2.28043,2.28132,0.63742,5.35833e-05,0
2.28022,2.28132,0.609275,-0.0048309,0
2.27882,2.28132,0.609442,-0.0288705,0
2.2757,2.28132,0.609108,0.0192087,0
2.28054,2.28132,0.637286,0.0238606,0
2.27748,2.28132,0.609609,-0.05291,0
2.27757,2.28132,0.637687,-0.0475604,0
2.26158,2.28132,0.554387,-0.161628,0
1.22227,1.22221,0.00868056,0.210759,0
1.22232,1.22221,0.0371928,0.213085,0
1.96918,2.28132,0.75,0.225481,0
2.28104,2.28132,0.693643,0.0331643,0
2.2815,2.28132,0.665465,0.0285124,0
2.23958,2.28132,0.665164,0.0992356,0
2.26463,2.28132,0.693443,0.10319,0
2.19715,2.28132,0.636886,0.0952815,0
2.2824,2.28132,0.75,0.111098,0
2.27775,2.28132,0.721721,0.107144,0
2.27132,2.28132,0.497897,-0.124249,0
2.26729,2.28132,0.470219,-0.155266,0
2.27158,2.28132,0.469885,-0.130064,0
2.26295,2.28132,0.470553,-0.180469,0
1.22197,1.22221,0.436732,0.220214,0
1.22358,1.22221,0.437099,0.194778,0
2.25226,2.28132,0.694177,-0.15357,0
2.25289,2.28132,0.666266,-0.160083,0
1.22219,1.22221,-0.153907,-0.0456224,0
1.22212,1.22221,-0.152849,-0.0759202,0
1.22213,1.22221,-0.12459,-0.0716026,0
1.22217,1.22221,-0.125616,-0.0415338,0
1.22219,1.22221,-0.0973558,-0.0373798,0
1.22214,1.22221,-0.0963542,-0.0672342,0
1.22207,1.22221,-0.0953526,-0.0970886,0
1.22215,1.22221,-0.123539,-0.101722,0
1.22214,1.22221,-0.151743,-0.10632,0
1.22222,1.22221,-0.099359,0.0223291,0
1.22221,1.22221,-0.127678,0.0186221,0
1.22212,1.22221,-0.126658,-0.0114322,0
1.22216,1.22221,-0.0983574,-0.00752535,0
1.22219,1.22221,-0.154981,-0.0152918,0
1.22223,1.22221,-0.15601,0.0149442,0
1.22217,1.22221,-0.0408654,-0.0290064,0
1.22217,1.22221,-0.0418002,0.000382868,0
1.2221,1.22221,-0.0700788,-0.00357124,0
1.22214,1.22221,-0.0691106,-0.0331931,0
1.22219,1.22221,-0.071047,0.0260506,0
1.22217,1.22221,-0.042735,0.0297721,0
1.22208,1.22221,-0.0671741,-0.0924368,0
1.22216,1.22221,-0.0681424,-0.0628149,0
1.22213,1.22221,-0.0399306,-0.0583956,0
1.22203,1.22221,-0.0389957,-0.0877849,0
2.22085,2.28132,0.0817308,-0.353766,0
2.23151,2.28132,0.082532,-0.382225,0
2.22724,2.28132,0.110343,-0.375014,0
2.23069,2.28132,0.109575,-0.346788,0
2.23574,2.28132,0.13742,-0.33981,0
2.22322,2.28132,0.138154,-0.367804,0
2.21627,2.28132,0.138889,-0.395798,0
2.21466,2.28132,0.111111,-0.403241,0
2.21375,2.28132,0.0833333,-0.410684,0
2.17324,2.28132,0.135951,-0.283823,0
2.12441,2.28132,0.10804,-0.290336,0
2.20401,2.28132,0.108807,-0.318562,0
2.22601,2.28132,0.136685,-0.311817,0
2.16939,2.28132,0.0809295,-0.325307,0
2.06381,2.28132,0.0801282,-0.296848,0
2.23715,2.28132,0.193109,-0.325855,0
2.24548,2.28132,0.192441,-0.298326,0
2.23878,2.28132,0.164563,-0.305071,0
2.2375,2.28132,0.165264,-0.332832,0
2.20898,2.28132,0.163862,-0.27731,0
2.23245,2.28132,0.191774,-0.270798,0
1.22215,1.22221,0.174412,0.444943,0
1.22202,1.22221,0.17508,0.417415,0
1.22238,1.22221,0.203826,0.418112,0
1.22228,1.22221,0.203192,0.445408,0
1.2221,1.22221,0.201923,0.5,0
1.22214,1.22221,0.202557,0.472704,0
1.22229,1.22221,0.173745,0.472472,0
1.22231,1.22221,0.173077,0.5,0
1.51555,1.22221,0.607939,0.187486,0
1.6602,1.22221,0.608106,0.163446,0
1.54833,1.22221,0.579728,0.16019,0
1.43032,1.22221,0.579527,0.184462,0
1.3399,1.22221,0.579327,0.208734,0
1.40354,1.22221,0.607772,0.211525,0
